Id,Label,Classes,Group
0,A_Ad_martyras,A,1
1,A_Ad_Nationes_I_et_II,A,1
2,A_Ad_Scapulam,A,1
3,A_Apol,A,1
4,A_Pall,A,1
5,A_Scorp,A,1
6,A_Test_an,A,1
7,D_Adv_Hermogenem,D,2
8,D_Adv_Iudaeos,D,2
9,D_Adv_Marc_I,D,2
10,D_Adv_Marc_II,D,2
11,D_Adv_Marc_III,D,2
12,D_Adv_Marc_IV,D,2
13,D_Adv_Marc_V,D,2
14,D_Adv_Praxean,D,2
15,D_Adv_Val,D,2
16,D_Praes,D,2
17,Di_An,Di,3
18,Di_Bapt,Di,3
19,Di_Carn,Di,3
20,Di_Cor,Di,3
21,Di_Cult_I_et_II,Di,3
22,Di_Exhort_Cast,Di,3
23,Di_Fug,Di,3
24,Di_Idol,Di,3
25,Di_Ieiun,Di,3
26,Di_Mono,Di,3
27,Di_Orat,Di,3
28,Di_Paen,Di,3
29,Di_Pat,Di,3
30,Di_Pud,Di,3
31,Di_Res,Di,3
32,Di_Spect,Di,3
33,Di_Virg_vel,Di,3
34,Di_Vx_I_et_II,Di,3
